  AA MM DD HH      Hm0   Tm02   Tp   DirM      Hm0_V  DirM_V Hm0_F1 Tm02_F1 DirM_F1 Hm0_F2 Tm02_F2 DirM_F2   VelV   DirV
2016 01 07 11      1.5   5.1   11.0 274.0    -99.9  -99.9      1.5    5.8 274.0     -99.9  -99.9  -99.9       6.5  247.0
2016 01 07 12      1.5   5.1   11.0 274.0    -99.9  -99.9      1.5    5.8 274.0     -99.9  -99.9  -99.9       5.3  230.0
2016 01 07 13      1.5   5.2   11.0 275.0    -99.9  -99.9      1.5    5.9 275.0     -99.9  -99.9  -99.9       6.1  237.0
2016 01 07 14      1.5   5.3   11.0 275.0    -99.9  -99.9      1.5    6.0 275.0     -99.9  -99.9  -99.9       5.9  240.0
2016 01 07 15      1.5   5.4   11.0 276.0    -99.9  -99.9      1.5    6.1 276.0     -99.9  -99.9  -99.9       5.8  241.0
2016 01 07 16      1.5   5.5   11.1 276.0    -99.9  -99.9      1.5    6.2 276.0     -99.9  -99.9  -99.9       5.1  249.0
2016 01 07 17      1.5   5.6   11.1 277.0    -99.9  -99.9      1.4    6.0 275.0       0.5   13.3  291.0       4.7  249.0
2016 01 07 18      1.5   5.8   11.1 278.0    -99.9  -99.9      1.4    6.1 275.0       0.6   13.4  291.0       4.1  231.0
2016 01 07 19      1.5   6.0   11.1 278.0    -99.9  -99.9      1.4    6.2 276.0       0.6   13.4  291.0       5.0  241.0
2016 01 07 20      1.6   6.1   11.2 279.0    -99.9  -99.9      1.3    5.9 274.0       0.9   12.3  290.0       4.7  236.0
2016 01 07 21      1.6   6.2   11.2 279.0    -99.9  -99.9      1.3    6.0 274.0       0.9   12.4  290.0       5.0  223.0
2016 01 07 22      1.6   6.3   11.3 279.0    -99.9  -99.9      1.3    6.0 273.0       0.9   12.4  290.0       5.2  221.0
2016 01 07 23      1.6   6.3   11.4 279.0    -99.9  -99.9      1.3    6.0 273.0       0.9   12.5  290.0       5.7  218.0
2016 01 08 00      1.6   6.3   11.4 279.0    -99.9  -99.9      1.3    6.0 273.0       1.0   12.6  290.0       5.2  222.0
